	JD-11	JD-217	JD-214	JD-111	JD-207	JD-205	JD-110	JD-197	JD-29	JD-28	JD-25	JD-237
ASV_1	1778	518	3824	0	877	2993	487	303	1560	14114	230	3322
ASV_2	112	2	48	277	0	37	707	0	7	1018	65	40
ASV_3	362	0	129	22	0	239	28	0	0	306	125	78
ASV_4	100	0	158	0	57	138	0	0	87	448	25	140
ASV_5	0	0	0	0	0	0	0	0	0	1087	0	0
ASV_6	86	0	0	0	35	169	157	0	0	202	0	0
ASV_7	0	0	0	0	0	0	0	0	0	540	0	0
ASV_8	0	0	10	0	0	19	0	0	7	236	0	51
ASV_9	16	5	15	0	6	14	0	0	15	182	0	56
ASV_10	17	0	49	0	11	27	0	0	14	129	0	38
ASV_11	27	9	32	0	25	33	0	0	13	119	0	23
ASV_12	30	23	25	0	21	16	0	57	19	26	0	30
ASV_13	33	0	45	0	0	4	0	0	0	110	0	33
ASV_14	13	5	49	0	6	17	0	0	23	58	0	36
ASV_15	31	17	30	0	21	20	0	0	22	20	0	27
ASV_16	19	0	23	0	17	27	0	0	15	83	0	0
ASV_17	22	16	30	0	18	29	0	0	14	23	0	20
ASV_18	19	20	23	0	18	15	0	0	13	32	15	15
ASV_19	16	13	20	0	25	9	0	0	8	15	38	20
ASV_20	0	0	0	0	0	0	0	0	0	162	0	1
ASV_21	11	0	0	0	62	47	0	0	0	20	0	0
ASV_22	16	0	0	0	50	54	0	0	0	17	0	0
ASV_23	24	21	15	0	19	16	0	0	3	15	0	14
ASV_24	7	0	0	0	45	49	0	0	0	22	0	0
ASV_25	5	14	19	0	19	14	0	0	11	18	0	19
ASV_26	13	19	17	0	12	10	0	0	9	18	0	20
ASV_27	8	0	0	0	44	40	0	0	0	24	0	0
ASV_28	3	0	0	0	50	35	0	0	0	22	0	0
ASV_29	10	0	0	0	38	38	0	0	0	20	0	0
ASV_30	30	0	0	0	0	36	0	0	0	38	0	0
ASV_31	27	0	0	0	0	38	0	0	0	39	0	0
ASV_32	28	0	0	0	0	35	0	0	0	35	0	0
ASV_33	39	0	0	0	0	27	0	0	0	28	0	0
ASV_34	0	0	0	0	0	0	0	0	0	94	0	0
ASV_35	22	0	0	0	0	31	0	0	0	40	0	0
ASV_36	23	0	0	0	28	12	0	0	0	22	0	0
ASV_37	23	0	61	0	0	0	0	0	0	0	0	0
ASV_38	0	0	0	0	0	0	0	0	0	84	0	0
ASV_39	20	0	0	0	0	30	0	0	0	32	0	0
ASV_40	27	0	0	0	33	6	0	0	0	14	0	0
ASV_41	0	0	19	0	0	0	0	0	0	28	0	33
ASV_42	36	0	0	0	29	8	0	0	0	6	0	0
ASV_43	25	0	0	0	26	12	0	0	0	16	0	0
ASV_44	0	0	0	0	0	0	0	0	0	78	0	0
ASV_45	0	0	0	76	0	0	0	0	0	0	0	0
ASV_46	7	8	7	0	6	6	0	0	14	20	7	0
ASV_47	0	0	3	0	0	13	0	0	0	57	0	2
ASV_48	23	0	51	0	0	0	0	0	0	0	0	0
ASV_49	30	0	0	0	22	4	0	0	0	15	0	0
ASV_50	0	0	0	0	0	0	0	0	67	0	0	0
ASV_51	2	0	0	0	28	27	0	0	0	9	0	0
ASV_52	2	0	0	0	30	27	0	0	0	3	0	0
ASV_53	0	0	9	0	14	17	0	0	0	22	0	0
ASV_54	16	0	0	0	23	7	0	0	0	12	0	0
ASV_55	0	0	0	0	0	0	0	0	58	0	0	0
ASV_56	0	0	15	0	0	26	0	0	0	0	0	16
ASV_57	0	5	0	0	10	0	4	0	12	0	0	25
ASV_58	20	0	0	0	19	9	0	0	0	6	0	0
ASV_59	0	0	0	0	0	0	0	0	0	0	0	54
ASV_60	0	0	0	0	0	0	0	0	0	0	0	54
ASV_61	0	0	0	0	0	0	0	0	0	0	0	53
ASV_62	0	0	0	0	0	0	0	0	52	0	0	0
ASV_63	5	0	9	0	3	8	0	0	4	13	0	9
ASV_64	0	0	12	0	0	15	0	0	0	0	0	24
ASV_65	0	0	0	0	0	0	0	0	0	0	51	0
ASV_66	17	0	0	0	13	9	0	0	0	0	3	8
ASV_67	0	1	0	0	3	0	0	0	0	40	0	2
ASV_68	0	0	27	0	0	0	0	0	0	0	0	19
ASV_69	10	0	0	0	0	0	0	0	0	0	9	26
ASV_70	0	0	0	0	0	0	0	0	44	0	0	0
ASV_71	0	0	0	0	0	0	0	0	0	0	0	44
ASV_72	0	0	0	0	0	0	0	0	43	0	0	0
ASV_73	0	42	0	0	0	0	0	0	0	0	0	0
ASV_74	0	0	0	0	0	0	0	0	0	31	0	11
ASV_75	0	41	0	0	0	0	0	0	0	0	0	0
ASV_76	0	0	0	0	0	0	0	0	41	0	0	0
ASV_77	0	0	0	0	0	0	0	0	0	41	0	0
ASV_78	0	0	0	0	0	0	0	0	0	0	0	41
